	 Score 	 miRNAs 	 DEmiRNAPercentage 	 Total_miRNAs 	 TS_Genes 	 TSgenesPercentage 	 Module
Only in Control:  	 2.975 	 hsa-miR-20a-5p is not DE, hsa-miR-497-5p is not DE, hsa-miR-519d-3p is DOWN 	 33.33 	 3 	 ARHGAP12 	 18.18 	 ['6', 'hsa-miR-20a-5p', 'hsa-miR-519d-3p', 'hsa-miR-497-5p', 'ELK4', 'NUFIP2', 'ARHGAP12', 'SHOC2', 'KIF23', 'WEE1']
Only in Control:  	 3.971 	 hsa-miR-20a-5p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-524-5p is not DE 	 33.33 	 3 	 LDLR,PFKP 	 40.00 	 ['5', 'hsa-miR-20a-5p', 'hsa-miR-519d-3p', 'hsa-miR-524-5p', 'EXO5', 'CRISPLD2', 'PFKP', 'LDLR', 'WEE1']
Only in Control:  	 4.915 	 hsa-miR-20a-5p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-520a-3p is not DE 	 33.33 	 3 	 ACOT9,CEP72,CSNK1A1,EIF2S1,FOXK1,GIGYF1,GINS4,GPR157,ICA1L,PFKP,POLM,QSOX1,RAB11FIP1,RGMB,ZNF682,ZNFX1 	 22.86 	 ['70', 'hsa-miR-20a-5p', 'hsa-miR-519d-3p', 'hsa-miR-520a-3p', 'GNB5', 'CXorf38', 'CAPZA2', 'GATAD1', 'ICA1L', 'GTF2H2C', 'SPIB', 'WDR53', 'RANGAP1', 'AGMAT', 'RNASEH1', 'TXK', 'EXO5', 'TNFAIP8L1', 'NR2F6', 'QSOX1', 'KCNA7', 'MED16', 'ZNF514', 'DIS3L', 'PRIM1', 'ZNF578', 'FXYD5', 'CRISPLD2', 'EFCAB11', 'BMP8B', 'ZNF682', 'CEP72', 'FZD9', 'FAM160B1', 'GPR157', 'ACOT9', 'TSR1', 'C9orf40', 'ZNF12', 'NR2C2', 'TTC9', 'ELK4', 'GINS4', 'RGMB', 'TIMM17A', 'KIAA0513', 'EIF2S1', 'ZFYVE26', 'TNFRSF10B', 'KPNA2', 'FOXK1', 'CAVIN1', 'HMGB1', 'FEM1C', 'YOD1', 'ZBTB33', 'CAPRIN2', 'SUCO', 'GIGYF1', 'FOXK2', 'SLC35F5', 'POLM', 'PNRC1', 'PFKP', 'DUSP2', 'CSNK1A1', 'RHOC', 'RAB22A', 'TXNIP', 'ARID4B', 'MKNK2', 'RAB11FIP1', 'ZNF264', 'ZNFX1']
Only in Control:  	 3.308 	 hsa-miR-20a-5p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-92b-3p is not DE 	 33.33 	 3 	 CNOT4,MYLIP 	 16.67 	 ['12', 'hsa-miR-20a-5p', 'hsa-miR-519d-3p', 'hsa-miR-92b-3p', 'DNAJB9', 'WASL', 'GID4', 'NUFIP2', 'FAM129A', 'CNOT4', 'SOX4', 'BTG2', 'MYLIP', 'PTEN', 'GATA6', 'BCL2L11']
Only in Control:  	 2.975 	 hsa-miR-20a-5p is not DE, hsa-miR-324-3p is not DE, hsa-miR-519d-3p is DOWN 	 33.33 	 3 	 CCDC71L 	 16.67 	 ['6', 'hsa-miR-20a-5p', 'hsa-miR-519d-3p', 'hsa-miR-324-3p', 'GTF2H2C', 'WDR53', 'RANGAP1', 'CCDC71L', 'PTPN4', 'MKNK2']
Only in Control:  	 3.042 	 hsa-miR-20a-5p is not DE, hsa-miR-381-3p is not DE, hsa-miR-519d-3p is DOWN 	 33.33 	 3 	 LDLR 	 16.67 	 ['5', 'hsa-miR-20a-5p', 'hsa-miR-519d-3p', 'hsa-miR-381-3p', 'HBP1', 'LDLR', 'ZNF264', 'SHOC2', 'WEE1']
Only in Control:  	 3.522 	 hsa-miR-20a-5p is not DE, hsa-miR-363-3p is not DE, hsa-miR-519d-3p is DOWN 	 33.33 	 3 	 CNOT4,MYLIP 	 22.22 	 ['9', 'hsa-miR-20a-5p', 'hsa-miR-519d-3p', 'hsa-miR-363-3p', 'DNAJB9', 'WASL', 'GID4', 'FAM129A', 'CNOT4', 'SOX4', 'BTG2', 'MYLIP', 'BCL2L11']
Only in Control:  	 3.042 	 hsa-miR-20a-5p is not DE, hsa-miR-495-3p is not DE, hsa-miR-519d-3p is DOWN 	 33.33 	 3 	 LDLR 	 22.22 	 ['5', 'hsa-miR-20a-5p', 'hsa-miR-519d-3p', 'hsa-miR-495-3p', 'COIL', 'RAB10', 'KPNA2', 'PRNP', 'LDLR']
Only in Control:  	 5.273 	 hsa-miR-142-5p is not DE, hsa-miR-20a-5p is not DE, hsa-miR-519d-3p is DOWN 	 33.33 	 3 	 AKAP11,CCND1,EFCAB14,HSPA8,NAGK,PFKP,PVR,RGMB,TGFBR2,UBXN2A,ZNFX1 	 30.56 	 ['36', 'hsa-miR-20a-5p', 'hsa-miR-519d-3p', 'hsa-miR-142-5p', 'RPF2', 'DNAJC28', 'RNASEH1', 'LZIC', 'PTP4A1', 'TFAM', 'TSR1', 'PRKCB', 'PVR', 'FJX1', 'ANKRD33B', 'PCBP2', 'ELK4', 'RGMB', 'U2SURP', 'ZFYVE21', 'MAPK1', 'ZFYVE26', 'LAPTM4A', 'NAGK', 'RPS6KA5', 'HSPA8', 'EFCAB14', 'FEM1C', 'MTPAP', 'B2M', 'UBXN2A', 'AKAP11', 'CAPRIN2', 'PTPN4', 'PFKP', 'DUSP2', 'NARS', 'TGFBR2', 'ZNFX1', 'CCND1']
Only in Control:  	 5.534 	 hsa-miR-20a-5p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-526b-3p is not DE 	 33.33 	 3 	 ACOT9,ACVR1B,ADAR,AKAP11,ARHGAP12,C16orf70,CCDC71L,CCND1,CEP72,CNOT4,CSNK1A1,EIF2S1,FEM1A,FEM1B,FOXK1,GIGYF1,GINS4,GPR157,HSPA8,ICA1L,KMT2B,LDLR,LIMA1,MAVS,MFSD8,MIDN,MYLIP,NAGK,PFKP,POLM,PVR,QKI,QSOX1,RAB11FIP1,RGMB,RORA,RPS27A,SKIL,SLC5A3,SMAD4,SRSF2,TGFBR2,TSG101,TSKU,UBXN2A,YWHAZ,ZNF682,ZNFX1 	 22.02 	 ['218', 'hsa-miR-20a-5p', 'hsa-miR-519d-3p', 'hsa-miR-526b-3p', 'GNB5', 'CXorf38', 'CAPZA2', 'GATAD1', 'DHODH', 'LIAS', 'ICA1L', 'GTF2H2C', 'SPIB', 'WDR53', 'RANGAP1', 'PIWIL2', 'AGMAT', 'FEM1B', 'RORA', 'TMEM200C', 'RPF2', 'ATAT1', 'DNAJC28', 'KMT2B', 'RNASEH1', 'TBL1XR1', 'TXK', 'EXO5', 'TNFAIP8L1', 'ZMYM1', 'CLEC12B', 'NR2F6', 'QSOX1', 'RRAGD', 'KCNA7', 'MED16', 'ZNF514', 'DIS3L', 'PRIM1', 'ZNF578', 'FXYD5', 'EPS15L1', 'PKNOX1', 'RBM20', 'KLHL36', 'CRISPLD2', 'EFCAB11', 'BMP8B', 'ZNF682', 'CEP72', 'FZD9', 'PCLAF', 'LZIC', 'MARCH6', 'MFSD8', 'TMEM242', 'CCDC71L', 'HMGB3', 'ZDHHC20', 'FOXQ1', 'PTP4A1', 'ZNF70', 'BBX', 'CNOT6L', 'COIL', 'FAM160B1', 'GPR157', 'PXK', 'SMIM13', 'TFAM', 'FEM1A', 'FUT10', 'ACOT9', 'TSR1', 'CEP170', 'EMSY', 'C9orf40', 'M6PR', 'MAP3K2', 'NIPA1', 'RAN', 'SCAMP2', 'ZNF12', 'NR2C2', 'GRK3', 'PRKCB', 'PVR', 'FJX1', 'TSKU', 'SALL3', 'TTC9', 'ANKRD33B', 'SKIL', 'PCBP2', 'ELK4', 'MAVS', 'GNS', 'GINS4', 'RGMB', 'TIMM17A', 'PHTF2', 'SP4', 'DNAJB9', 'CENPQ', 'ANKH', 'U2SURP', 'RAB10', 'FNBP1L', 'KRT10', 'KIAA0513', 'ZFYVE9', 'EIF2S1', 'ZFYVE21', 'ACVR1B', 'MAPK1', 'WASL', 'ZBTB5', 'ZFYVE26', 'TNFRSF10B', 'LAPTM4A', 'NAGK', 'NFAT5', 'RPS27A', 'LAMTOR1', 'WAC', 'RPS6KA5', 'KPNA2', 'HSPA8', 'SEPT2', 'FOXK1', 'EIF4H', 'POLR1B', 'CAVIN1', 'HMGB1', 'GID4', 'FEM1C', 'SLC5A3', 'TSG101', 'F3', 'SRSF2', 'MTPAP', 'FBXL5', 'KLHL28', 'B2M', 'C3orf38', 'ICMT', 'ZBTB33', 'TAX1BP1', 'BTG3', 'UBXN2A', 'ZNF180', 'ZC3H12C', 'ACTR2', 'NUFIP2', 'NIN', 'AKAP11', 'FAM129A', 'CAPRIN2', 'SUCO', 'ZNF202', 'TMEM127', 'LIMA1', 'KDM6B', 'GIGYF1', 'BTF3L4', 'FOXK2', 'SLC35F5', 'CLIC4', 'MORF4L1', 'KIAA1191', 'MIDN', 'PTPN4', 'ARHGAP1', 'CNOT4', 'ENPP5', 'C16orf70', 'ZBTB4', 'PPP1R15B', 'MAPRE3', 'PDRG1', 'MAP7', 'ARHGAP12', 'NACC2', 'ZNF417', 'RAB5B', 'POLM', 'PNRC1', 'PFKP', 'LDLR', 'DUSP2', 'YWHAZ', 'NFIB', 'QKI', 'MDM2', 'CSNK1A1', 'RHOC', 'RAB22A', 'TXNIP', 'BNIP2', 'ARID4B', 'MKNK2', 'SMAD4', 'RAB11FIP1', 'ADAR', 'NETO2', 'LASP1', 'ZNF264', 'SOX4', 'BTG2', 'MYLIP', 'NARS', 'SLC30A1', 'SHOC2', 'BRI3BP', 'TGFBR2', 'KIF23', 'NABP1', 'GPR137B', 'ZNFX1', 'GATA6', 'CCND1', 'BCL2L11']
Only in Control:  	 5.264 	 hsa-miR-20a-5p is not DE, hsa-miR-519b-3p is not DE, hsa-miR-519d-3p is DOWN 	 33.33 	 3 	 ADAR,ARHGAP12,CCDC71L,CNOT4,CSNK1A1,EFCAB14,FEM1B,HSPA8,KMT2B,LDLR,MAVS,MIDN,NAGK,PVR,QKI,RPS27A,SKIL,SLC5A3,SMAD4,SRSF2,TGFBR2,TSG101,TSKU,ZBTB18,ZNFX1 	 23.36 	 ['107', 'hsa-miR-20a-5p', 'hsa-miR-519d-3p', 'hsa-miR-519b-3p', 'FEM1B', 'TMEM200C', 'RPF2', 'ATAT1', 'DNAJC28', 'KMT2B', 'RRAGD', 'EPS15L1', 'PKNOX1', 'RBM20', 'KLHL36', 'PCLAF', 'LZIC', 'TMEM242', 'CCDC71L', 'HMGB3', 'ZDHHC20', 'FOXQ1', 'BBX', 'CNOT6L', 'PXK', 'TFAM', 'EMSY', 'MAP3K2', 'NIPA1', 'RAN', 'SCAMP2', 'NR2C2', 'GRK3', 'PVR', 'FJX1', 'TSKU', 'SALL3', 'ANKRD33B', 'SKIL', 'MAVS', 'GNS', 'PHTF2', 'DNAJB9', 'CENPQ', 'ANKH', 'U2SURP', 'RAB10', 'FNBP1L', 'ZFYVE9', 'ZBTB18', 'MAPK1', 'WASL', 'ZBTB5', 'LAPTM4A', 'NAGK', 'NFAT5', 'RPS27A', 'LAMTOR1', 'HSPA8', 'SEPT2', 'POLR1B', 'EFCAB14', 'SLC5A3', 'TSG101', 'F3', 'SRSF2', 'FBXL5', 'KLHL28', 'C3orf38', 'TAX1BP1', 'BTG3', 'NUFIP2', 'NIN', 'FAM129A', 'CAPRIN2', 'ZNF202', 'TMEM127', 'BTF3L4', 'CLIC4', 'KIAA1191', 'MIDN', 'PTPN4', 'ARHGAP1', 'CNOT4', 'ENPP5', 'ZBTB4', 'PPP1R15B', 'MAPRE3', 'PDRG1', 'MAP7', 'ARHGAP12', 'NACC2', 'ZNF417', 'RAB5B', 'LDLR', 'NFIB', 'QKI', 'CSNK1A1', 'BNIP2', 'SMAD4', 'ADAR', 'NETO2', 'LASP1', 'SOX4', 'SLC30A1', 'SHOC2', 'BRI3BP', 'TGFBR2', 'KIF23', 'NABP1', 'ZNFX1']
Only in Control:  	 3.613 	 hsa-miR-143-5p is not DE, hsa-miR-20a-5p is not DE, hsa-miR-519d-3p is DOWN 	 33.33 	 3 	 GINS4,NAGK 	 25.00 	 ['8', 'hsa-miR-20a-5p', 'hsa-miR-519d-3p', 'hsa-miR-143-5p', 'GINS4', 'ZBTB5', 'LAPTM4A', 'NAGK', 'SEPT2', 'TAX1BP1', 'BNIP2', 'NETO2']
Only in Control:  	 5.113 	 hsa-miR-20a-5p is not DE, hsa-miR-410-3p is not DE, hsa-miR-519d-3p is DOWN 	 33.33 	 3 	 LDLR,RAB11FIP1,RGMB,YWHAZ 	 50.00 	 ['8', 'hsa-miR-20a-5p', 'hsa-miR-519d-3p', 'hsa-miR-410-3p', 'RGMB', 'LAPTM4A', 'BTG3', 'NUFIP2', 'LDLR', 'YWHAZ', 'RAB11FIP1', 'NABP1']
Only in Control:  	 3.170 	 hsa-miR-20a-5p is not DE, hsa-miR-3125 is not DE, hsa-miR-519d-3p is DOWN 	 33.33 	 3 	 GINS4 	 50.00 	 ['3', 'hsa-miR-20a-5p', 'hsa-miR-519d-3p', 'hsa-miR-3125', 'GINS4', 'SOD2', 'BTG2']
Only in Control:  	 3.113 	 hsa-miR-20a-5p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-6857-5p is not DE 	 33.33 	 3 	 NAGK 	 60.00 	 ['4', 'hsa-miR-20a-5p', 'hsa-miR-519d-3p', 'hsa-miR-6857-5p', 'MAPK1', 'NAGK', 'NFIB', 'RHOC']
Only in Control:  	 2.915 	 hsa-miR-202-3p is not DE, hsa-miR-20a-5p is not DE, hsa-miR-519d-3p is DOWN 	 33.33 	 3 	 CCND1 	 60.00 	 ['7', 'hsa-miR-20a-5p', 'hsa-miR-519d-3p', 'hsa-miR-202-3p', 'FZD9', 'COIL', 'FUT10', 'WASL', 'YOD1', 'ZNF264', 'CCND1']
Only in Control:  	 3.821 	 hsa-miR-20a-5p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-520f-3p is not DE 	 33.33 	 3 	 EIF2S1,RGMB,ZNFX1 	 23.08 	 ['13', 'hsa-miR-20a-5p', 'hsa-miR-519d-3p', 'hsa-miR-520f-3p', 'RNASEH1', 'TSR1', 'NR2C2', 'ELK4', 'RGMB', 'KIAA0513', 'EIF2S1', 'ZFYVE26', 'CAPRIN2', 'FOXK2', 'RAB22A', 'MKNK2', 'ZNFX1']
Only in Control:  	 3.170 	 hsa-miR-20a-5p is not DE, hsa-miR-5002-3p is not DE, hsa-miR-519d-3p is DOWN 	 33.33 	 3 	 QKI 	 23.08 	 ['3', 'hsa-miR-20a-5p', 'hsa-miR-519d-3p', 'hsa-miR-5002-3p', 'ZFYVE9', 'ZBTB5', 'QKI']
Only in Control:  	 3.971 	 hsa-miR-126-5p is not DE, hsa-miR-20a-5p is not DE, hsa-miR-519d-3p is DOWN 	 33.33 	 3 	 CRK,ZBTB18 	 40.00 	 ['5', 'hsa-miR-20a-5p', 'hsa-miR-519d-3p', 'hsa-miR-126-5p', 'NR2C2', 'ELK4', 'ZBTB18', 'ZNF180', 'CRK']
Only in Control:  	 3.113 	 hsa-miR-20a-5p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-6880-5p is not DE 	 33.33 	 3 	 MIDN 	 40.00 	 ['4', 'hsa-miR-20a-5p', 'hsa-miR-519d-3p', 'hsa-miR-6880-5p', 'TSR1', 'CLIC4', 'MIDN', 'CDKN1A']
Only in Control:  	 5.529 	 hsa-miR-20a-5p is not DE, hsa-miR-362-3p is not DE, hsa-miR-519d-3p is DOWN 	 33.33 	 3 	 AKAP11,CFL2,CRK,FOXK1,REEP3,TNFRSF21 	 46.15 	 ['13', 'hsa-miR-20a-5p', 'hsa-miR-519d-3p', 'hsa-miR-362-3p', 'CFL2', 'FAM126B', 'NFAT5', 'FOXK1', 'GID4', 'TNFRSF21', 'ZC3H12C', 'NUFIP2', 'AKAP11', 'CLIC4', 'REEP3', 'CRK', 'BRI3BP']
Only in Control:  	 2.778 	 hsa-miR-20a-5p is not DE, hsa-miR-335-3p is not DE, hsa-miR-519d-3p is DOWN 	 33.33 	 3 	 YWHAZ 	 46.15 	 ['10', 'hsa-miR-20a-5p', 'hsa-miR-519d-3p', 'hsa-miR-335-3p', 'NR2F6', 'PCLAF', 'TSR1', 'FAM126B', 'ELK4', 'RPS6KA5', 'ZNF180', 'NUFIP2', 'YWHAZ', 'MDM2']
Only in Control:  	 2.863 	 hsa-miR-20a-5p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-5703 is not DE 	 33.33 	 3 	 MECP2 	 46.15 	 ['8', 'hsa-miR-20a-5p', 'hsa-miR-519d-3p', 'hsa-miR-5703', 'ZMYM1', 'M6PR', 'ZNF12', 'NUFIP2', 'SOD2', 'CDKN1A', 'MECP2', 'GATA6']
Only in Control:  	 4.113 	 hsa-miR-20a-5p is not DE, hsa-miR-515-3p is not DE, hsa-miR-519d-3p is DOWN 	 33.33 	 3 	 GIGYF1,RORA 	 50.00 	 ['4', 'hsa-miR-20a-5p', 'hsa-miR-519d-3p', 'hsa-miR-515-3p', 'PIWIL2', 'RORA', 'WAC', 'GIGYF1']
Only in Control:  	 4.113 	 hsa-miR-20a-5p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-519e-3p is not DE 	 33.33 	 3 	 GIGYF1,RORA 	 50.00 	 ['4', 'hsa-miR-20a-5p', 'hsa-miR-519d-3p', 'hsa-miR-519e-3p', 'PIWIL2', 'RORA', 'WAC', 'GIGYF1']
Only in Control:  	 4.113 	 hsa-miR-20a-5p is not DE, hsa-miR-33b-3p is not DE, hsa-miR-519d-3p is DOWN 	 33.33 	 3 	 GIGYF1,RORA 	 50.00 	 ['4', 'hsa-miR-20a-5p', 'hsa-miR-519d-3p', 'hsa-miR-33b-3p', 'PIWIL2', 'RORA', 'WAC', 'GIGYF1']
Only in Control:  	 4.227 	 hsa-miR-20a-5p is not DE, hsa-miR-516b-5p is not DE, hsa-miR-519d-3p is DOWN 	 33.33 	 3 	 CCND1,ZNFX1 	 66.67 	 ['3', 'hsa-miR-20a-5p', 'hsa-miR-519d-3p', 'hsa-miR-516b-5p', 'YOD1', 'ZNFX1', 'CCND1']
Only in Control:  	 4.113 	 hsa-miR-1304-3p is not DE, hsa-miR-20a-5p is not DE, hsa-miR-519d-3p is DOWN 	 33.33 	 3 	 NAGK,ZNF682 	 50.00 	 ['4', 'hsa-miR-20a-5p', 'hsa-miR-519d-3p', 'hsa-miR-1304-3p', 'DNAJC28', 'ZNF682', 'NAGK', 'KIAA1191']
Only in Case:  	 3.837 	 hsa-miR-20a-5p is not DE, hsa-miR-519c-3p is not DE, hsa-miR-539-5p is UP 	 33.33 	 3 	 CCDC71L,LDLR 	 33.33 	 ['6', 'hsa-miR-20a-5p', 'hsa-miR-519c-3p', 'hsa-miR-539-5p', 'PCLAF', 'CCDC71L', 'LAMTOR1', 'NUFIP2', 'ENPP5', 'LDLR']
Only in Case:  	 3.170 	 hsa-miR-130b-3p is not DE, hsa-miR-148b-3p is UP, hsa-miR-20a-5p is not DE 	 33.33 	 3 	 CNOT4 	 50.00 	 ['3', 'hsa-miR-20a-5p', 'hsa-miR-130b-3p', 'hsa-miR-148b-3p', 'ZFYVE26', 'CNOT4', 'TXNIP']
Only in Control:  	 3.042 	 hsa-miR-130b-3p is not DE, hsa-miR-142-3p is UP, hsa-miR-20a-5p is not DE 	 33.33 	 3 	 C16orf70 	 50.00 	 ['5', 'hsa-miR-20a-5p', 'hsa-miR-130b-3p', 'hsa-miR-142-3p', 'WASL', 'CLIC4', 'KIAA1191', 'C16orf70', 'PPP1R15B']
Only in Control:  	 3.113 	 hsa-miR-20a-5p is not DE, hsa-miR-491-5p is UP, hsa-miR-526b-3p is not DE 	 33.33 	 3 	 YWHAZ 	 20.00 	 ['4', 'hsa-miR-20a-5p', 'hsa-miR-491-5p', 'hsa-miR-526b-3p', 'NACC2', 'YWHAZ', 'NFIB', 'SHOC2']
Only in Case:  	 3.170 	 hsa-miR-148b-3p is UP, hsa-miR-20a-5p is not DE, hsa-miR-526b-3p is not DE 	 33.33 	 3 	 CNOT4 	 20.00 	 ['3', 'hsa-miR-20a-5p', 'hsa-miR-148b-3p', 'hsa-miR-526b-3p', 'ZFYVE26', 'CNOT4', 'TXNIP']
Only in Case:  	 3.113 	 hsa-miR-20a-5p is not DE, hsa-miR-365a-3p is not DE, hsa-miR-365b-3p is DOWN 	 33.33 	 3 	 MYLIP 	 40.00 	 ['4', 'hsa-miR-20a-5p', 'hsa-miR-365a-3p', 'hsa-miR-365b-3p', 'POLR1B', 'NUFIP2', 'BTF3L4', 'MYLIP']
Only in Control:  	 3.442 	 hsa-miR-142-3p is UP, hsa-miR-20a-5p is not DE, hsa-miR-526b-3p is not DE 	 33.33 	 3 	 C16orf70,MFSD8 	 20.00 	 ['10', 'hsa-miR-20a-5p', 'hsa-miR-142-3p', 'hsa-miR-526b-3p', 'MFSD8', 'WASL', 'HMGB1', 'SUCO', 'SLC35F5', 'CLIC4', 'MORF4L1', 'KIAA1191', 'C16orf70', 'PPP1R15B']
Only in Case:  	 3.717 	 hsa-miR-20a-5p is not DE, hsa-miR-526b-3p is not DE, hsa-miR-539-5p is UP 	 33.33 	 3 	 CCDC71L,LDLR 	 28.57 	 ['7', 'hsa-miR-20a-5p', 'hsa-miR-526b-3p', 'hsa-miR-539-5p', 'ZMYM1', 'PCLAF', 'CCDC71L', 'LAMTOR1', 'NUFIP2', 'ENPP5', 'LDLR']
Only in Case:  	 3.113 	 hsa-miR-20a-5p is not DE, hsa-miR-365b-3p is DOWN, hsa-miR-526b-3p is not DE 	 33.33 	 3 	 MYLIP 	 40.00 	 ['4', 'hsa-miR-20a-5p', 'hsa-miR-526b-3p', 'hsa-miR-365b-3p', 'POLR1B', 'NUFIP2', 'BTF3L4', 'MYLIP']
Only in Case:  	 3.170 	 hsa-miR-20a-5p is not DE, hsa-miR-3910 is UP, hsa-miR-526b-3p is not DE 	 33.33 	 3 	 MYLIP 	 50.00 	 ['3', 'hsa-miR-20a-5p', 'hsa-miR-526b-3p', 'hsa-miR-3910', 'ICMT', 'ARHGAP1', 'MYLIP']
Only in Case:  	 3.837 	 hsa-miR-20a-5p is not DE, hsa-miR-519b-3p is not DE, hsa-miR-539-5p is UP 	 33.33 	 3 	 CCDC71L,LDLR 	 33.33 	 ['6', 'hsa-miR-20a-5p', 'hsa-miR-519b-3p', 'hsa-miR-539-5p', 'PCLAF', 'CCDC71L', 'LAMTOR1', 'NUFIP2', 'ENPP5', 'LDLR']
Only in Control:  	 3.522 	 hsa-miR-21-5p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-93-5p is not DE 	 33.33 	 3 	 STAT3,TGFBR2 	 22.22 	 ['9', 'hsa-miR-21-5p', 'hsa-miR-93-5p', 'hsa-miR-519d-3p', 'TNFRSF10B', 'GID4', 'TPRG1L', 'YOD1', 'RAB22A', 'BTG2', 'TGFBR2', 'PTEN', 'STAT3']
Only in Control:  	 3.170 	 hsa-miR-195-5p is DOWN, hsa-miR-21-5p is not DE, hsa-miR-29b-3p is not DE 	 33.33 	 3 	 PIK3R1 	 66.67 	 ['3', 'hsa-miR-21-5p', 'hsa-miR-29b-3p', 'hsa-miR-195-5p', 'PIK3R1', 'VEGFA', 'BCL2']
Only in Control:  	 4.390 	 hsa-miR-16-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-21-5p is not DE 	 33.33 	 3 	 EIF1AX,EPM2AIP1,PIK3R1,SMAD7 	 30.77 	 ['13', 'hsa-miR-21-5p', 'hsa-miR-195-5p', 'hsa-miR-16-5p', 'EPM2AIP1', 'EIF1AX', 'TNRC6B', 'PAG1', 'ZNF367', 'AGO2', 'CBX4', 'PIK3R1', 'ZNF460', 'SMAD7', 'VEGFA', 'BCL2', 'CDC25A']
Only in Control:  	 4.390 	 hsa-miR-15b-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-21-5p is not DE 	 33.33 	 3 	 EIF1AX,EPM2AIP1,PIK3R1,SMAD7 	 30.77 	 ['13', 'hsa-miR-21-5p', 'hsa-miR-195-5p', 'hsa-miR-15b-5p', 'EPM2AIP1', 'EIF1AX', 'TNRC6B', 'PAG1', 'ZNF367', 'AGO2', 'CBX4', 'PIK3R1', 'ZNF460', 'SMAD7', 'VEGFA', 'BCL2', 'CDC25A']
Only in Control:  	 3.717 	 hsa-miR-195-5p is DOWN, hsa-miR-21-5p is not DE, hsa-miR-503-5p is not DE 	 33.33 	 3 	 PIK3R1,SMAD7 	 28.57 	 ['7', 'hsa-miR-21-5p', 'hsa-miR-195-5p', 'hsa-miR-503-5p', 'ZNF367', 'CBX4', 'PIK3R1', 'SMAD7', 'VEGFA', 'BCL2', 'CDC25A']
Only in Control:  	 4.503 	 hsa-miR-195-5p is DOWN, hsa-miR-21-5p is not DE, hsa-miR-424-5p is not DE 	 33.33 	 3 	 EIF1AX,EPM2AIP1,PIK3R1,SMAD7 	 33.33 	 ['12', 'hsa-miR-21-5p', 'hsa-miR-195-5p', 'hsa-miR-424-5p', 'EPM2AIP1', 'EIF1AX', 'TNRC6B', 'PAG1', 'ZNF367', 'AGO2', 'CBX4', 'PIK3R1', 'ZNF460', 'SMAD7', 'VEGFA', 'CDC25A']
Only in Control:  	 4.390 	 hsa-miR-195-5p is DOWN, hsa-miR-21-5p is not DE, hsa-miR-497-5p is not DE 	 33.33 	 3 	 EIF1AX,EPM2AIP1,PIK3R1,SMAD7 	 30.77 	 ['13', 'hsa-miR-21-5p', 'hsa-miR-195-5p', 'hsa-miR-497-5p', 'EPM2AIP1', 'EIF1AX', 'TNRC6B', 'PAG1', 'ZNF367', 'AGO2', 'CBX4', 'PIK3R1', 'ZNF460', 'SMAD7', 'VEGFA', 'BCL2', 'CDC25A']
Only in Control:  	 3.113 	 hsa-miR-195-5p is DOWN, hsa-miR-21-5p is not DE, hsa-miR-590-5p is not DE 	 33.33 	 3 	 EIF1AX 	 30.77 	 ['4', 'hsa-miR-21-5p', 'hsa-miR-195-5p', 'hsa-miR-590-5p', 'EIF1AX', 'AGO2', 'CBX4', 'ZNF460']
Only in Control:  	 3.522 	 hsa-miR-17-5p is not DE, hsa-miR-21-5p is not DE, hsa-miR-519d-3p is DOWN 	 33.33 	 3 	 STAT3,TGFBR2 	 22.22 	 ['9', 'hsa-miR-21-5p', 'hsa-miR-17-5p', 'hsa-miR-519d-3p', 'TNFRSF10B', 'GID4', 'TPRG1L', 'YOD1', 'RAB22A', 'BTG2', 'TGFBR2', 'PTEN', 'STAT3']
Only in Control:  	 3.522 	 hsa-miR-20b-5p is not DE, hsa-miR-21-5p is not DE, hsa-miR-519d-3p is DOWN 	 33.33 	 3 	 STAT3,TGFBR2 	 22.22 	 ['9', 'hsa-miR-21-5p', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'TNFRSF10B', 'GID4', 'TPRG1L', 'YOD1', 'RAB22A', 'BTG2', 'TGFBR2', 'PTEN', 'STAT3']
Only in Control:  	 3.113 	 hsa-miR-21-5p is not DE, hsa-miR-372-3p is not DE, hsa-miR-519d-3p is DOWN 	 33.33 	 3 	 TGFBR2 	 22.22 	 ['4', 'hsa-miR-21-5p', 'hsa-miR-519d-3p', 'hsa-miR-372-3p', 'TNFRSF10B', 'YOD1', 'RAB22A', 'TGFBR2']
Only in Control:  	 3.113 	 hsa-miR-21-5p is not DE, hsa-miR-373-3p is not DE, hsa-miR-519d-3p is DOWN 	 33.33 	 3 	 TGFBR2 	 22.22 	 ['4', 'hsa-miR-21-5p', 'hsa-miR-519d-3p', 'hsa-miR-373-3p', 'TNFRSF10B', 'YOD1', 'RAB22A', 'TGFBR2']
